Organization Name,Organization Name URL,Stage,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Postal Code,Diversity Spotlight,Estimated Revenue Range,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Facebook,LinkedIn,Phone Number,Contact Email,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Number of Exits,Number of Exits (IPO),Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Industry Groups,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Transaction Name,Transaction Name URL,Acquired by,Acquired by URL,Announced Date,Announced Date Precision,Price,Price Currency,Price (in USD),Acquisition Type,Acquisition Terms,IPO Status,IPO Date,Delisted Date,Delisted Date Precision,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO (in USD),Valuation at IPO,Valuation at IPO Currency,Valuation at IPO (in USD),Stock Symbol,Stock Symbol URL,Stock Exchange,Trend Score (90 Days),Similar Companies,Patents Granted,Trademarks Registered,Most Popular Patent Class,Most Popular Trademark Class
Billd,https://www.crunchbase.com/organization/billd,,"Financial Services, FinTech, Payments, Real Estate","Austin, Texas, United States",Billd is a construction finance company that offers material purchases at 120-day terms to the construction industry.,"5,384",Southern US,,,$10M to $50M,Active,2018-01-01,year,,,,,For Profit,https://billd.com,https://www.facebook.com/billdco,https://www.linkedin.com/company/billdco,512-270-4805,grow@billd.com,,,,,,,,,,,,"Financial Services, Payments, Real Estate",2,"Christopher Doyle, Jesse Weissburg",101-250,5,,2024-12-12,144000000,USD,144000000,Debt Financing,17500000,USD,17500000,Venture - Series Unknown,107500000,USD,107500000,351500000,USD,351500000,"MissionOG, HighSage Ventures, ATLAS SP Partners, LL Funds, Ulysses Management",3,6,,,,,,,,,,,,,,Private,,,,,,,,,,,,,4.8,6,1,1,Computing; Calculating,Insurance; financial affairs
HER,https://www.crunchbase.com/organization/dattch,,"Advertising Platforms, Apps, Dating, LGBT, Mobile, Social Media","San Francisco, California, United States","HER is a dating application for FLINTA & queer women, allowing users to connect with each other and their community.","5,874","San Francisco Bay Area, West Coast, Western US",94103,"Black Led, LGBTQ+ Founded, LGBTQ+ Led, Women Founded, Women Led",$50M to $100M,Active,2012-11-15,day,2025-05-20,day,,,For Profit,https://weareher.com/,https://www.facebook.com/hersocialapp,https://www.linkedin.com/company/hersocialapp/,,support@weareher.com,,,,,,,,,,,,"Advertising, Apps, Community and Lifestyle, Internet Services, Media and Entertainment, Mobile, Other, Software",1,Robyn Exton,11-50,6,M&A,2015-08-18,120000,USD,120000,Seed,120000,USD,120000,Seed,1296899,USD,1296899,1993571,USD,1993571,"Y Combinator, 500 Global, Initialized Capital, Four Cities Capital, Dreamcraft Ventures",,15,,Was Acquired,HER acquired by Match Group,https://www.crunchbase.com/acquisition/match-group-acquires-dattch--d6972f9c,Match Group,https://www.crunchbase.com/organization/match-group,2025-05-20,day,,,,Acquisition,,Private,,,,,,,,,,,,,6.3,8,0,1,,Scientific and electric apparatus and instruments
Prodigy,https://www.crunchbase.com/organization/prodigy-2,,"Automotive, B2B, Enterprise Software, Real Time, Retail Technology, SaaS","San Francisco, California, United States",Prodigy digitizes the process to save customers' time while improving trust and satisfaction.,"6,100","San Francisco Bay Area, West Coast, Western US",Hong Kong,,$1M to $10M,Closed,2015-01-01,year,2021-03-17,day,,none,For Profit,https://getprodigy.com,https://www.facebook.com/ProdigyAuto/,https://www.linkedin.com/company/prodigysoftware/,,elliot@getprodigy.com,,,,,,,,,,,,"Commerce and Shopping, Hardware, Other, Software, Transportation",2,"Marty Hu, Michia Rohrssen",11-50,5,M&A,2020-10-18,,,,Series A,,,,Series A,14400000,USD,14400000,14400000,USD,14400000,"Tribe Capital, 8VC, Abstract, Bossa Invest, Alchemist Accelerator",5,19,,Was Acquired,Prodigy acquired by Upstart,https://www.crunchbase.com/acquisition/upstart-acquires-prodigy-2--22c37c49,Upstart,https://www.crunchbase.com/organization/upstart,2021-03-17,day,,,,Acquisition,,Private,,,,,,,,,,,,,4.2,5,,,,
One,https://www.crunchbase.com/organization/one-87db,,"Finance, Financial Services, Mobile Apps, Payments","Los Angeles, California, United States","One is a financial mobile app that provides banking, fintech solutions, online payments, cash transactions, and digital wallet services.","8,849","Greater Los Angeles Area, West Coast, Western US",90051,,$100M to $500M,Active,2022-01-01,year,,,,,For Profit,https://www.one.app/,https://www.facebook.com/joinoneapp,https://www.linkedin.com/company/oneapp/,+1 855-970-1919,,,,,,,,,,,,,"Apps, Financial Services, Mobile, Payments, Software",1,Brian Hamilton,251-500,1,,2024-12-12,300000000,USD,300000000,Venture - Series Unknown,300000000,USD,300000000,Venture - Series Unknown,300000000,USD,300000000,300000000,USD,300000000,"Ribbit Capital, Walmart",2,2,,,,,,,,,,,,,,Private,,,,,,,,,,,,,-0.8,18,0,5,,Insurance; financial affairs
Hotiday,https://www.crunchbase.com/organization/hotiday,,"E-Commerce, Hotel, Travel Agency","Milan, Lombardia, Italy","Hotiday is the first hospitality startup that applies Instant Buying to the hotel industry to become an ""Online-Only"" hotel chain","12,400","European Union (EU), Europe, Middle East, and Africa (EMEA)",20141,,,Active,2022-03-18,day,,,,,For Profit,https://www.hotiday.com/,https://www.facebook.com/hotiday,https://www.linkedin.com/company/hotiday/,+39 333 660 5072,management@hotiday.com,,,,,,,,,,,,"Commerce and Shopping, Travel and Tourism",3,"Federico Brunelli, Federico Di Carlo, Vittorio Gargiulo",1-10,2,Seed,2025-05-06,5500000,EUR,6224536,Seed,5500000,EUR,6224536,Seed,6000000,EUR,6770024,6000000,EUR,6770024,"Libero Raspa, P101, Ventive Group, B4i - Bocconi for innovation, Moonstone",2,9,,,,,,,,,,,,,,Private,,,,,,,,,,,,,9.2,7,0,1,,Advertising; business
Wag,https://www.crunchbase.com/organization/wag,,"Apps, Crowdsourcing, Pet","Mountain View, California, United States",Wag! is a mobile application used to instantly find trusted and certified dog walkers.,"15,261","San Francisco Bay Area, Silicon Valley, West Coast",,,$50M to $100M,Active,2014-10-01,day,2022-08-10,day,,,For Profit,http://www.wagwalking.com/,http://facebook.com/wagwalking,https://www.linkedin.com/company/wag-labs-inc-/,(323) 894-7981,pr@wagwalking.com,,,,,,,,,,,,"Apps, Community and Lifestyle, Other, Software",4,"Brendan Rogers, Jason Meltzer, Jonathan Viner, Joshua Paul",101-250,10,IPO,2024-07-18,10000000,USD,10000000,Post-IPO Equity,10000000,USD,10000000,Post-IPO Equity,371450000,USD,371450000,371450000,USD,371450000,"General Catalyst, Slow Ventures, Freestyle Capital, Greylock, Haystack",7,23,3,Made Acquisitions,,,,,,,,,,,,Public,2022-08-10,,,175000000,USD,175000000,350000000,USD,350000000,PET,https://www.crunchbase.com/ipo/wag-ipo--1bb5c93b,NASDAQ,-0.5,9,0,5,,Leather and imitations of leather
Nexo,https://www.crunchbase.com/organization/nexo-0ab2,,"Blockchain, Cryptocurrency, Financial Services, FinTech, Lending","Vilnius, Vilniaus Apskritis, Lithuania","Nexo is a premier digital assets wealth platform empowering clients to grow, manage, and preserve their crypto holdings.","16,462","European Union (EU), Europe, Middle East, and Africa (EMEA)",83716,,$100M to $500M,Active,2018-01-01,year,,,,,For Profit,https://nexo.com,https://www.facebook.com/NexoFinance,https://www.linkedin.com/company/nexofinance/,,info@nexo.com,,,23,24,3,2,1,,,,,"Blockchain and Cryptocurrency, Financial Services, Other, Payments, Software",4,"Antoni Trenchev, Georgi Shulev, Kalin Metodiev, Kosta Kantchev",501-1000,2,Seed,2018-03-08,,,,Seed,,,,Seed,52500000,USD,52500000,52500000,USD,52500000,"Arrington XRP Capital, Connectico Capital",,2,1,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,,,6.4,13,,,,
Sieve,https://www.crunchbase.com/organization/sieve-data,,"Artificial Intelligence (AI), Cloud Infrastructure, Developer APIs, Machine Learning, Software, Video","San Francisco, California, United States","Sieve is an ML infrastructure company that provides easy to use APIs, infrastructure, and interfaces for video AI.","16,546","San Francisco Bay Area, West Coast, Western US",,,,Active,2022-01-01,month,,,,,For Profit,https://www.sievedata.com/,,https://www.linkedin.com/company/sievedata/,4085068951,contact@sievedata.com,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Hardware, Internet Services, Media and Entertainment, Science and Engineering, Software, Video",2,"Abhinav Ayalur, Mokshith Voodarla",1-10,2,Seed,2022-11-14,4000000,USD,4000000,Seed,4000000,USD,4000000,Seed,4125000,USD,4125000,4125000,USD,4125000,"Y Combinator, Matrix, Swift Ventures, AI Grant, Ryan Chan",1,12,,,,,,,,,,,,,,Private,,,,,,,,,,,,,0.6,7,,,,
Column,https://www.crunchbase.com/organization/column-98c0,,Software,"Miami, Florida, United States","Column is a public benefit corporation building technology to help media, governments and legal services work together to notify the public.","16,900","Greater Miami Area, East Coast, Southern US",33127,,$10M to $50M,Active,2019-01-01,year,,,,,For Profit,https://www.column.us/,https://www.facebook.com/columnpbc/,https://www.linkedin.com/company/columnsoftwarepbc/,,info@column.us,,,,,,,,,,,,Software,2,"Jake Seaton, Joshua Hone",51-100,1,Early Stage Venture,2022-08-06,30000000,USD,30000000,Series A,30000000,USD,30000000,Series A,30000000,USD,30000000,30000000,USD,30000000,"Lux Capital, Amity Ventures, Govtech Fund, Claire Hughes Johnson, Henry Ward",1,10,1,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,,,-0.4,,0,0,,Scientific and technological services
Celery,https://www.crunchbase.com/organization/celery-9b18,,"Accounting, Finance, Financial Services","Tel Aviv, Tel Aviv, Israel","Celery is an internal auditing and control platform, designed to automate critical and time-consuming processes and prevent costly mistakes.","17,488","Europe, Middle East, and Africa (EMEA), Middle East, Middle East and North Africa (MENA)",6721407,,,Active,2022-01-01,year,,,,,For Profit,https://celery.cc,,https://www.linkedin.com/company/celery-controls,,,,,,,,,,,,,,"Financial Services, Professional Services",,,1-10,2,Seed,2025-05-13,6250000,USD,6250000,Seed,6250000,USD,6250000,Seed,6250000,USD,6250000,6250000,USD,6250000,"Team8, 97212 Ventures, Verissimo Ventures, Centre Street Partners, Elad Kushnir",1,5,,,,,,,,,,,,,,Private,,,,,,,,,,,,,9.5,9,,,,
isaac,https://www.crunchbase.com/organization/isaac-ae8a,,"Education, Financial Services, Software","São Paulo, Sao Paulo, Brazil",Isaac is an all-in-one platform that simplifies school management,"17,576",Latin America,,,,Active,2020-01-01,year,2022-10-06,day,,,For Profit,https://www.isaac.com.br/,https://www.facebook.com/isaac.futuro,https://www.linkedin.com/company/olaisaac/,,,,,,,,,,,,,,"Education, Financial Services, Software",2,"David Peixoto, Ricardo Sales",501-1000,2,M&A,2021-11-09,125000000,USD,125000000,Series B,125000000,USD,125000000,Series B,125000000,USD,125000000,125000000,USD,125000000,"General Atlantic, Endeavor Catalyst, SoftBank, Kaszek, Lupa Capital",1,5,,Was Acquired,isaac acquired by Arco Educacao,https://www.crunchbase.com/acquisition/arco-platform-acquires-isaac-ae8a--f3aa4899,Arco Educacao,https://www.crunchbase.com/organization/arco-platform,2022-10-06,day,,,,Acquisition,,Private,,,,,,,,,,,,,-0.5,7,,,,
LEAF,https://www.crunchbase.com/organization/corsica-innovations-inc,,"Cannabis, Consumer Electronics, Electronics, Hardware, Home Appliances, Service Industry","Boulder, Colorado, United States","LEAF is a smart home appliance that lets users grow their own cannabis, food, and herbs.","18,242","Greater Denver Area, Western US",80302,Women Founded,$1M to $10M,Active,2015-01-01,year,,,,,For Profit,https://www.getleaf.co,https://www.facebook.com/leafgrow,https://www.linkedin.com/company/leaf---the-smart-grow-system,(877) 796-7371,support@getleaf.co,,,,,,,,,,,,"Community and Lifestyle, Consumer Electronics, Consumer Goods, Food and Beverage, Hardware, Health Care, Other",3,"Eran Mordechay, Jonathan Ofir, Moira Breslin",11-50,6,,2021-07-01,5729000,USD,5729000,Convertible Note,2504795,USD,2504795,Venture - Series Unknown,4524795,USD,4524795,13628502,USD,13628502,"SeedInvest, Merida Capital Holdings, CanopyBoulder, Phyto Partners, Sunmeet Jolly",1,10,,,,,,,,,,,,,,Private,,,,,,,,,,,,,-0.6,94,1,0,Agriculture; Forestry; Animal Husbandry; Hunting; Trapping; Fishing,
Skipper,https://www.crunchbase.com/organization/skipper-54b6,,"Hotel, Information Technology, Software","New York, New York, United States",Skipper is a hotel booking platform that increases direct sales.,"18,279","Greater New York Area, East Coast, Northeastern US",,,,Active,2020-11-01,month,2024-12-23,day,,,For Profit,https://www.skipperhospitality.com/,,https://www.linkedin.com/company/hiskipper/,,contact@skipperhospitality.com,,,,,,,,,,,,"Information Technology, Software, Travel and Tourism",3,"Cole Maritz, Dane Bratz, Jason Shames",1-10,2,M&A,2023-01-01,,,,Venture - Series Unknown,,,,Venture - Series Unknown,5800000,USD,5800000,5800000,USD,5800000,"Pear VC, Derive Ventures, Gradient, Uncommon Capital, Wayfinder",1,9,,Was Acquired,Skipper acquired by Safara,https://www.crunchbase.com/acquisition/safara-acquires-skipper-54b6--139e3faa,Safara,https://www.crunchbase.com/organization/safara,2024-12-23,day,,,,Acquisition,,Private,,,,,,,,,,,,,5.6,6,0,1,,Scientific and technological services
Cosmo Tech,https://www.crunchbase.com/organization/cosmo-company,,"Analytics, Artificial Intelligence (AI), Asset Management, B2B, PaaS, Predictive Analytics, Simulation, Software, Supply Chain Management","Lyon, Rhone-Alpes, France",Cosmo Tech is software provider of digital twin simulation that helps the C-suite make optimal business decisions.,"20,432","European Union (EU), Europe, Middle East, and Africa (EMEA)",69007,,$10M to $50M,Active,2010-01-01,year,,,,,For Profit,https://cosmotech.com/,https://www.facebook.com/cosmotechweb/,https://www.linkedin.com/company/cosmotechweb/,33 4 37 66 67 65,contact@cosmotech.com,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Other, Science and Engineering, Software, Transportation",3,"Eric Boix, Hugues de Bantel, Michel Morvan",51-100,5,,2024-12-02,,,,Venture - Series Unknown,,,,Venture - Series Unknown,29551073,USD,29551073,32892016,USD,32892016,"Insight Partners, Cathay Innovation, Crédit Agricole, Inven Capital, Accenture Ventures",6,14,,,,,,,,,,,,,,Private,,,,,,,,,,,,,-2.4,5,1,12,Computing; Calculating,Scientific and electric apparatus and instruments
Terra AI,https://www.crunchbase.com/organization/terra-ai,,"Artificial Intelligence (AI), Energy, Natural Resources","Sunnyvale, California, United States",Intelligent Systems for Natural Resource Development,"20,474","San Francisco Bay Area, Silicon Valley, West Coast",94085,,,Active,2023-09-01,month,,,,,For Profit,https://www.terraai.com,,https://www.linkedin.com/company/terra-ai-sys,,Contact@TerraAI.earth,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Energy, Natural Resources, Science and Engineering, Software, Sustainability",2,"Anthony Corso, John Mern",1-10,1,Seed,2023-10-01,3385000,USD,3385000,Seed,3385000,USD,3385000,Seed,3385000,USD,3385000,3385000,USD,3385000,"Plug and Play, Khosla Ventures, Climate Capital, StoryHouse Ventures",,4,,,,,,,,,,,,,,Private,,,,,,,,,,,,,3.2,1,,,,
Next Insurance,https://www.crunchbase.com/organization/next-insurance,,"Commercial Insurance, Finance, Insurance, InsurTech, Small and Medium Businesses","Palo Alto, California, United States",Next Insurance is a financial service firm that offers insurance coverage to entrepreneurs and small businesses.,"23,871","San Francisco Bay Area, Silicon Valley, West Coast",94304,,$500M to $1B,Active,2016-01-01,year,2025-03-20,day,,,For Profit,https://www.nextinsurance.com,https://www.facebook.com/NextInsuranceUSA,https://www.linkedin.com/company/next-insurance,+1 855-222-5919,support@next-insurance.com,,,,,,,,,,,,"Financial Services, Other",3,"Alon Huri, Guy Goldstein, Nissim Tapiro",501-1000,7,M&A,2023-11-01,265000000,USD,265000000,Series F,265000000,USD,265000000,Series F,1146000000,USD,1146000000,1146000000,USD,1146000000,"G Squared, Redpoint, Munich Re Ventures, Zeev Ventures, TLV Partners",10,19,2,"Made Acquisitions, Was Acquired",Next Insurance acquired by ERGO Group,https://www.crunchbase.com/acquisition/ergo-group-acquires-next-insurance--721c9495,ERGO Group,https://www.crunchbase.com/organization/ergo-group,2025-03-20,day,2600000000,USD,2600000000,Acquisition,Cash,Private,,,,,,,,,,,,,-1,29,0,12,,Insurance; financial affairs
LEASY,https://www.crunchbase.com/organization/leasy-a996,,"Financial Services, FinTech, Subscription Service","Lima, Lima, Peru",Leasy is a FinTech platform that provides automobile financing to ride-hailing drivers through a subscription model.,"24,795",Latin America,15047,,,Active,2018-11-01,day,,,,,For Profit,http://www.leasyauto.com,,https://www.linkedin.com/company/leasyperu/,,gg@leasy.pe,,,,,,,,,,,,"Financial Services, Other",3,"Alejandro Garay, Gregorio Gilardini, Juan Garay",51-100,9,Early Stage Venture,2024-03-22,28000000,USD,28000000,Series A,28000000,USD,28000000,Series A,30600000,USD,30600000,82500000,USD,82500000,"Lendable, Magma Partners, Entangled Group, Otto Group, BuenTrip Ventures",2,11,,,,,,,,,,,,,,Private,,,,,,,,,,,,,1,6,,,,
